collected_at,query,rank,id,full_name,name,owner_login,owner_type,html_url,description,language,topics,stargazers_count,forks_count,watchers_count,open_issues_count,size_kb,license,created_at,updated_at,pushed_at,default_branch,archived,fork,visibility
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,1,39464018,apache/superset,superset,apache,Organization,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,Python,analytics;apache;apache-superset;asf;bi;business-analytics;business-intelligence;data-analysis;data-analytics;data-engineering;data-science;data-visualization;data-viz;flask;python;react;sql-editor;superset,74053,17985,74053,616,1098815,Apache-2.0,2015-07-21T18:55:34Z,2026-07-30T09:21:23Z,2026-07-30T08:24:15Z,master,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,2,204086862,streamlit/streamlit,streamlit,streamlit,Organization,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit,45429,4344,45429,1186,1054161,Apache-2.0,2019-08-24T00:14:52Z,2026-07-30T09:28:29Z,2026-07-30T08:53:05Z,develop,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,3,162405963,gradio-app/gradio,gradio,gradio-app,Organization,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components,43244,3562,43244,210,356905,Apache-2.0,2018-12-19T08:24:04Z,2026-07-30T08:52:53Z,2026-07-29T20:53:56Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,4,557075997,reflex-dev/reflex,reflex,reflex-dev,Organization,https://github.com/reflex-dev/reflex,🕸️ Web apps in pure Python 🐍,Python,dashboard;data-analysis;data-science;data-visualization;developer-tools;framework;fullstack;gui;open-source;python;webapp,28720,1752,28720,322,39121,Apache-2.0,2022-10-25T03:08:48Z,2026-07-30T09:09:19Z,2026-07-30T04:16:57Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,5,33702544,plotly/dash,dash,plotly,Organization,https://github.com/plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,Python,ai;bioinformatics;charting;dash;dashboards;data-science;data-visualization;finance;flask;gui-framework;jupyter;plotly;plotly-dash;productivity;python;react;technical-computing;web-app,24356,2310,24356,536,216418,MIT,2015-04-10T01:53:08Z,2026-07-30T05:08:46Z,2026-07-29T18:08:52Z,dev,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,6,640317662,vanna-ai/vanna,vanna,vanna-ai,Organization,https://github.com/vanna-ai/vanna,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using Agentic Retrieval 🔄.,Python,agent;ai;data-visualization;database;llm;rag;sql;text-to-sql,23823,2461,23823,291,8599,MIT,2023-05-13T17:26:28Z,2026-07-30T04:20:22Z,2026-02-02T14:14:20Z,main,True,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,7,631258918,sinaptik-ai/pandas-ai,pandas-ai,sinaptik-ai,Organization,https://github.com/sinaptik-ai/pandas-ai,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG.",Python,ai;csv;data;data-analysis;data-science;data-visualization;database;datalake;gpt-4;llm;pandas;sql;text-to-sql,23670,2336,23670,25,57432,NOASSERTION,2023-04-22T12:58:01Z,2026-07-30T07:14:48Z,2025-10-28T10:02:13Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,8,1385122,matplotlib/matplotlib,matplotlib,matplotlib,Organization,https://github.com/matplotlib/matplotlib,matplotlib: plotting with Python,Python,data-science;data-visualization;gtk;matplotlib;plotting;python;qt;tk;wx,23049,8419,23049,1471,489746,,2011-02-19T03:17:12Z,2026-07-29T23:20:00Z,2026-07-29T23:19:28Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,9,678526156,marimo-team/marimo,marimo,marimo-team,Organization,https://github.com/marimo-team/marimo,"A reactive notebook for Python — run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. Stored as pure Python. All in a modern, AI-native editor.",Python,artificial-intelligence;dag;data-science;data-visualization;dataflow;developer-tools;machine-learning;notebooks;pipeline;python;reactive;sql;web-app,22141,1205,22141,603,221915,Apache-2.0,2023-08-14T18:56:20Z,2026-07-30T07:30:26Z,2026-07-30T09:11:22Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,10,460914281,Avaiga/taipy,taipy,Avaiga,Organization,https://github.com/Avaiga/taipy,Turns Data and AI algorithms into production-ready web applications in no time.,Python,automation;data-engineering;data-integration;data-ops;data-visualization;datascience;developer-tools;hacktoberfest;hacktoberfest2023;job-scheduler;mlops;orchestration;pipeline;pipelines;python;scenario;scenario-analysis;taipy-core;taipy-gui;workflow,19337,1987,19337,218,155951,Apache-2.0,2022-02-18T15:55:45Z,2026-07-30T08:03:28Z,2026-07-27T10:09:58Z,develop,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,11,4704710,mwaskom/seaborn,seaborn,mwaskom,User,https://github.com/mwaskom/seaborn,Statistical data visualization in Python,Python,data-science;data-visualization;matplotlib;pandas;python,13980,2128,13980,220,54594,BSD-3-Clause,2012-06-18T18:41:19Z,2026-07-30T00:33:21Z,2026-07-06T02:11:55Z,master,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,12,110684325,polakowo/vectorbt,vectorbt,polakowo,User,https://github.com/polakowo/vectorbt,The backtesting engine that gives you an unfair advantage. Run thousands of trading ideas before others finish one.,Python,algorithmic-trading;algorithmic-traiding;backtesting;cryptocurrency;data-science;data-visualization;finance;machine-learning;portfolio-optimization;quantitative-analysis;quantitative-finance;time-series;trading;trading-strategies,8480,1093,8480,136,715699,NOASSERTION,2017-11-14T11:56:32Z,2026-07-30T08:38:25Z,2026-07-14T12:35:25Z,master,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,13,9952134,python-visualization/folium,folium,python-visualization,Organization,https://github.com/python-visualization/folium,Python Data. Leaflet.js Maps. ,Python,data-science;data-visualization;javascript;maps;python,7387,2260,7387,69,766870,NOASSERTION,2013-05-09T04:21:35Z,2026-07-29T12:52:29Z,2026-07-29T15:13:38Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,14,673277958,datajuicer/data-juicer,data-juicer,datajuicer,Organization,https://github.com/datajuicer/data-juicer,Data processing for and with foundation models!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷,Python,data;data-analysis;data-pipeline;data-processing;data-science;data-visualization;foundation-models;instruction-tuning;large-language-models;llm;llms;multi-modal;pre-training;synthetic-data,6809,401,6809,62,1596456,Apache-2.0,2023-08-01T09:16:41Z,2026-07-30T09:23:36Z,2026-07-30T06:09:01Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,15,189640071,aimhubio/aim,aim,aimhubio,Organization,https://github.com/aimhubio/aim,Aim 💫 — An easy-to-use & supercharged open-source experiment tracker.,Python,ai;data-science;data-visualization;experiment-tracking;machine-learning;metadata;metadata-tracking;ml;mlflow;mlops;prompt-engineering;python;pytorch;tensorboard;tensorflow;visualization,6213,401,6213,465,67588,Apache-2.0,2019-05-31T18:25:07Z,2026-07-29T11:45:57Z,2026-07-29T20:42:49Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,16,8357227,biolab/orange3,orange3,biolab,Organization,https://github.com/biolab/orange3,🍊 :bar_chart: :bulb: Orange: Interactive data analysis,Python,classification;clustering;data-mining;data-science;data-visualization;decision-trees;machine-learning;numpy;orange;orange3;pandas;plotting;python;random-forest;regression;scikit-learn;scipy;visual-programming;visualization,5656,1108,5656,114,103081,NOASSERTION,2013-02-22T12:52:56Z,2026-07-29T12:26:08Z,2026-07-28T12:56:58Z,master,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,17,1074218324,ruc-datalab/DeepAnalyze,DeepAnalyze,ruc-datalab,Organization,https://github.com/ruc-datalab/DeepAnalyze,DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！,Python,agent;agentic;agentic-ai;ai;ai-scientist;chatbot;data;data-analysis;data-engineering;data-science;data-visualization;database;deep-research;jupyter;llm;open-source;python;python-programming;qwen;science,4419,697,4419,23,56153,MIT,2025-10-11T11:19:21Z,2026-07-30T09:07:27Z,2026-07-01T03:12:26Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,18,440184597,mljar/mercury,mercury,mljar,Organization,https://github.com/mljar/mercury,"Impress your boss and turn a Jupyter notebook into a beautiful, shareable web app — no callbacks, no frontend, no rewrite.",Python,data-science;data-visualization;jupyter;jupyter-lab;jupyter-notebook;mercury;mljar-mercury;notebook;notebook-application;notebook-jupyter;notebook-publish;notebook-web;notebooks-jupyter;python,4347,292,4347,5,23277,Apache-2.0,2021-12-20T13:43:44Z,2026-07-28T19:37:34Z,2026-07-09T09:13:47Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,19,386575694,ndleah/python-mini-project,python-mini-project,ndleah,User,https://github.com/ndleah/python-mini-project,🙌 Welcome open-source Python mini-project contributions!,Python,data-analysis;data-science;data-visualization;newbie-code;newbie-friendly;python;python-mini-projects;python-programming-exercises;python-project-beginner,4328,1772,4328,134,126309,MIT,2021-07-16T09:05:09Z,2026-07-29T22:13:20Z,2024-08-16T21:05:01Z,main,False,False,public
2026-07-30T09:33:50+00:00,topic:data-visualization language:python stars:>100,20,903304373,StructuredLabs/preswald,preswald,StructuredLabs,Organization,https://github.com/StructuredLabs/preswald,"Preswald is a WASM packager for Python-based interactive data apps: bundle full complex data workflows, particularly visualizations, into single files, runnable completely in-browser, using Pyodide, DuckDB, Pandas, and Plotly, Matplotlib, etc. Build dashboards, reports, and notebooks that run offline, load fast, and share like a document.",Python,ai;analytics;analytics-engineering;copilot;data;data-applications;data-infrastructure;data-pipelines;data-sdk;data-visualization;gpt;llm;open-source;python;schema-management;vscode,4279,647,4279,330,101603,Apache-2.0,2024-12-14T08:56:02Z,2026-07-30T08:39:15Z,2026-06-11T23:01:11Z,main,False,False,public
